SYMBOL,DATETIME,LOW,QUOTE,HIGH,CLOSE,VOLUME,INTERVAL,MSG
RANI,2025-10-17 10:42:00,1.24,1.245,1.4,1.29,12598091.0,1.0,
RANI,2025-10-17 10:43:00,1.28,1.28,1.34,1.33,593637.0,1.0,
RANI,2025-10-17 10:44:00,1.29,1.3289,1.33,1.31,692077.0,1.0,
RANI,2025-10-17 10:45:00,1.315,1.315,1.35,1.349,1022254.0,1.0,bought
RANI,2025-10-17 10:46:00,1.34,1.34,1.35,1.3499,866145.0,1.0,
RANI,2025-10-17 10:47:00,1.34,1.3401,1.42,1.3993,1980082.0,1.0,
RANI,2025-10-17 10:48:00,1.28,1.395,1.41,1.2845,2060973.0,1.0,closed
RANI,2025-10-17 10:50:00,1.32,1.32,1.32,1.32,114.0,1.0,
RANI,2025-10-17 10:51:00,1.33,1.33,1.3399,1.3399,1125.0,1.0,
RANI,2025-10-17 10:52:00,1.41,1.415,1.42,1.41,41310.0,1.0,
RANI,2025-10-17 10:53:00,1.42,1.425,1.43,1.42,14049.0,1.0,
RANI,2025-10-17 10:54:00,1.390885,1.3994,1.4,1.390885,2745.0,1.0,
RANI,2025-10-17 10:55:00,1.53,1.54,1.54,1.5398,71320.0,1.0,
RANI,2025-10-17 10:56:00,1.53,1.54,1.54,1.54,918855.0,1.0,
RANI,2025-10-17 10:57:00,1.53,1.54,1.54,1.54,918855.0,1.0,
RANI,2025-10-17 10:58:00,1.53,1.54,1.54,1.54,918855.0,1.0,
RANI,2025-10-17 10:59:00,1.53,1.54,1.54,1.54,918855.0,1.0,
RANI,2025-10-17 11:00:00,1.53,1.54,1.54,1.54,918855.0,1.0,
RANI,2025-10-17 11:01:00,1.54,1.55,1.7,1.7,4281614.0,1.0,
RANI,2025-10-17 11:02:00,1.54,1.55,1.7,1.7,4281614.0,1.0,
RANI,2025-10-17 11:03:00,1.54,1.55,1.7,1.7,4281614.0,1.0,
RANI,2025-10-17 11:04:00,1.54,1.55,1.7,1.7,4281614.0,1.0,
RANI,2025-10-17 11:05:00,1.54,1.55,1.7,1.7,4281614.0,1.0,
RANI,2025-10-17 11:06:00,1.63,1.7643,1.78,1.66,1801902.0,1.0,
RANI,2025-10-17 11:07:00,1.6201,1.7643,1.78,1.63,2755496.0,1.0,
RANI,2025-10-17 11:08:00,1.6201,1.7643,1.78,1.63,2755496.0,1.0,
RANI,2025-10-17 11:09:00,1.6201,1.7643,1.78,1.63,2755496.0,1.0,
RANI,2025-10-17 11:10:00,1.6201,1.7643,1.78,1.63,2755496.0,1.0,
RANI,2025-10-17 11:11:00,1.6201,1.7643,1.78,1.63,2755496.0,1.0,
RANI,2025-10-17 11:12:00,1.52,1.578,1.58,1.5425,920301.0,1.0,
RANI,2025-10-17 11:13:00,1.52,1.5203,1.57,1.5401,377350.0,1.0,
RANI,2025-10-17 11:14:00,1.55,1.555,1.63,1.6,872897.0,1.0,
RANI,2025-10-17 11:15:00,1.61,1.64,1.66,1.61,350332.0,1.0,
RANI,2025-10-17 11:16:00,1.63,1.6357,1.65,1.635,330971.0,1.0,
RANI,2025-10-17 11:17:00,1.64,1.6599,1.68,1.6697,459806.0,1.0,
RANI,2025-10-17 11:18:00,1.6,1.62,1.63,1.6202,316098.0,1.0,
RANI,2025-10-17 11:19:00,1.62,1.6269,1.65,1.65,250858.0,1.0,
RANI,2025-10-17 11:20:00,1.62,1.62,1.63,1.62,52760.0,1.0,
RANI,2025-10-17 11:21:00,1.63,1.64,1.66,1.6599,306754.0,1.0,
RANI,2025-10-17 11:22:00,1.63,1.66,1.69328,1.6699,414473.0,1.0,
RANI,2025-10-17 11:23:00,1.645,1.6487,1.7,1.679,503227.0,1.0,
RANI,2025-10-17 11:24:00,1.7,1.7096,1.82,1.82,1576602.0,1.0,
RANI,2025-10-17 11:25:00,1.78,1.79,1.8599,1.8103,1038676.0,1.0,
RANI,2025-10-17 11:26:00,1.77,1.7903,1.8,1.78,433063.0,1.0,
RANI,2025-10-17 11:27:00,1.73,1.8411,1.85,1.765,1056890.0,1.0,
RANI,2025-10-17 11:28:00,1.77,1.7997,1.8,1.7708,211295.0,1.0,
RANI,2025-10-17 11:29:00,1.78,1.79,1.8,1.7815,223995.0,1.0,
RANI,2025-10-17 11:30:00,1.78,1.79,1.8,1.78,326419.0,1.0,
RANI,2025-10-17 11:31:00,1.66,1.6726,1.74,1.7078,1018224.0,1.0,
RANI,2025-10-17 11:32:00,1.72,1.73,1.74,1.73,295353.0,1.0,
RANI,2025-10-17 11:33:00,1.73,1.7679,1.77,1.739,278260.0,1.0,
RANI,2025-10-17 11:34:00,1.71,1.7336,1.735,1.715,364171.0,1.0,
RANI,2025-10-17 11:35:00,1.71,1.7201,1.79,1.79,621224.0,1.0,
RANI,2025-10-17 11:36:00,1.75,1.77,1.775,1.7528,458561.0,1.0,
RANI,2025-10-17 11:37:00,1.72,1.84,1.845,1.8124,1379466.0,1.0,
RANI,2025-10-17 11:38:00,1.78,1.795,1.81,1.805,311622.0,1.0,
RANI,2025-10-17 11:39:00,1.78,1.78,1.82,1.79,559982.0,1.0,
RANI,2025-10-17 11:40:00,1.79,1.82,1.841,1.8301,672353.0,1.0,
RANI,2025-10-17 11:41:00,1.87,1.939,1.95,1.945,1293166.0,1.0,
RANI,2025-10-17 11:42:00,1.92,1.93,1.95,1.935,916618.0,1.0,
RANI,2025-10-17 11:43:00,1.92,1.96,1.99,1.98,1391961.0,1.0,
RANI,2025-10-17 11:44:00,1.97,1.99,2.06,2.06,1888751.0,1.0,
