stock,timestamp,open,high,low,close,volume
AMZN,2025-08-01 19:55:00,214.9250,215.1500,214.9000,215.0900,16823
AMZN,2025-08-01 19:50:00,214.8900,214.9800,214.8800,214.9400,10887
AMZN,2025-08-01 19:45:00,214.9000,214.9800,214.8800,214.9000,14862
AMZN,2025-08-01 19:40:00,214.8800,214.9000,214.8700,214.9000,5479
AMZN,2025-08-01 19:35:00,214.8899,214.9000,214.8500,214.8800,9633
AMZN,2025-08-01 19:30:00,214.8500,214.9600,214.8500,214.8802,4686
AMZN,2025-08-01 19:25:00,214.9400,214.9500,214.8500,214.8500,6404
AMZN,2025-08-01 19:20:00,214.9300,214.9800,214.9000,214.9500,4123
AMZN,2025-08-01 19:15:00,214.9700,215.0000,214.9000,214.9800,7936
AMZN,2025-08-01 19:10:00,214.9600,215.0000,214.9000,214.9700,10284
AMZN,2025-08-01 19:05:00,214.9400,215.0000,214.9200,214.9600,9194
AMZN,2025-08-01 19:00:00,214.9681,214.9700,214.9200,214.9300,5024
AMZN,2025-08-01 18:55:00,214.9700,215.0000,214.9100,214.9700,24055
AMZN,2025-08-01 18:50:00,215.0000,215.0000,214.8500,214.9800,14766
AMZN,2025-08-01 18:45:00,214.9900,215.0000,214.9600,214.9900,6864
AMZN,2025-08-01 18:40:00,215.1000,215.1000,214.9600,214.9803,15399
AMZN,2025-08-01 18:35:00,215.0400,215.1500,215.0000,215.1000,3578
AMZN,2025-08-01 18:30:00,215.0700,215.0800,215.0000,215.0300,5629
AMZN,2025-08-01 18:25:00,215.1500,215.1500,215.0200,215.0700,7738
AMZN,2025-08-01 18:20:00,215.1300,215.1500,215.0500,215.0500,6836
AMZN,2025-08-01 18:15:00,215.0700,215.1500,215.0700,215.1250,5624
AMZN,2025-08-01 18:10:00,215.0900,215.1300,215.0500,215.0900,6106
AMZN,2025-08-01 18:05:00,215.1099,215.1300,215.0500,215.1300,10112
AMZN,2025-08-01 18:00:00,215.1200,215.1300,215.0803,215.1050,7521
AMZN,2025-08-01 17:55:00,215.1200,215.1400,214.7500,215.1200,14784
AMZN,2025-08-01 17:50:00,215.0800,215.2000,215.0700,215.1300,10082
AMZN,2025-08-01 17:45:00,215.0000,272.6347,199.3234,215.0700,17086
AMZN,2025-08-01 17:40:00,214.9500,272.6347,196.6162,272.6347,14327
AMZN,2025-08-01 17:35:00,214.9700,215.0400,214.9200,214.9500,8309
AMZN,2025-08-01 17:30:00,215.0500,215.0500,214.9400,214.9700,20845
AMZN,2025-08-01 17:25:00,214.9700,215.1000,214.9700,215.0500,18029
AMZN,2025-08-01 17:20:00,215.0000,215.1000,214.9500,214.9800,18884
AMZN,2025-08-01 17:15:00,214.9999,215.0000,214.9500,214.9999,18117
AMZN,2025-08-01 17:10:00,214.9700,215.0095,214.9200,214.9750,16613
AMZN,2025-08-01 17:05:00,215.0990,215.1300,214.9200,214.9800,21737
AMZN,2025-08-01 17:00:00,215.0800,215.1400,215.0200,215.1000,6897
AMZN,2025-08-01 16:55:00,215.1300,215.1750,214.7500,215.0500,32052
AMZN,2025-08-01 16:50:00,215.1300,232.0200,215.1000,215.1200,19291
AMZN,2025-08-01 16:45:00,215.0300,215.1700,214.9900,215.1500,38981
AMZN,2025-08-01 16:40:00,215.0800,215.0800,215.0000,215.0200,11538
AMZN,2025-08-01 16:35:00,215.1000,215.2500,214.7500,215.0700,149332
AMZN,2025-08-01 16:30:00,215.1399,215.1400,214.7500,215.1200,1920196
AMZN,2025-08-01 16:25:00,215.0500,215.2000,215.0000,215.1200,20972
AMZN,2025-08-01 16:20:00,214.9200,215.0500,214.9200,215.0500,18761
AMZN,2025-08-01 16:15:00,214.8500,215.8069,214.7500,214.9300,137822
AMZN,2025-08-01 16:10:00,215.0000,215.1250,213.8900,214.8500,91553
AMZN,2025-08-01 16:05:00,214.9686,215.1000,214.7500,214.9700,62133
AMZN,2025-08-01 16:00:00,214.8550,215.0800,214.7100,214.9700,15410151
AMZN,2025-08-01 15:55:00,215.7500,215.8800,214.7400,214.8550,3804853
AMZN,2025-08-01 15:50:00,215.2700,216.0000,215.0300,215.7600,1811686
AMZN,2025-08-01 15:45:00,214.9600,215.3800,214.7600,215.2600,1050121
AMZN,2025-08-01 15:40:00,214.9300,215.0700,214.7400,214.9646,808354
AMZN,2025-08-01 15:35:00,215.2400,215.3550,214.9000,214.9300,835389
AMZN,2025-08-01 15:30:00,214.8750,215.4100,214.4900,215.2300,1219013
AMZN,2025-08-01 15:25:00,214.8800,215.0546,214.7029,214.8750,633456
AMZN,2025-08-01 15:20:00,215.1600,215.2100,214.6100,214.8950,935880
AMZN,2025-08-01 15:15:00,214.6500,215.2200,214.6450,215.1677,874387
AMZN,2025-08-01 15:10:00,214.8900,214.9100,214.5195,214.6501,693029
AMZN,2025-08-01 15:05:00,214.8200,214.9900,214.8000,214.9000,703358
AMZN,2025-08-01 15:00:00,214.5300,214.8999,214.4850,214.8300,835624
AMZN,2025-08-01 14:55:00,214.3600,214.7000,214.2600,214.5499,752351
AMZN,2025-08-01 14:50:00,214.6750,214.7050,214.2200,214.3500,735382
AMZN,2025-08-01 14:45:00,215.1350,215.1653,214.5701,214.6750,1025968
AMZN,2025-08-01 14:40:00,214.9500,215.1700,214.7900,215.1350,1831814
AMZN,2025-08-01 14:35:00,214.5150,214.9900,214.4500,214.9600,795742
AMZN,2025-08-01 14:30:00,214.2300,214.7400,214.1500,214.5100,941242
AMZN,2025-08-01 14:25:00,213.9000,214.2900,213.8700,214.2492,829745
AMZN,2025-08-01 14:20:00,213.5230,213.9300,213.4232,213.9150,839137
AMZN,2025-08-01 14:15:00,212.8300,213.6200,212.8200,213.5266,925120
AMZN,2025-08-01 14:10:00,213.1300,213.3300,212.8000,212.8380,1197807
AMZN,2025-08-01 14:05:00,213.9300,214.0600,213.0500,213.1450,1087785
AMZN,2025-08-01 14:00:00,213.6250,214.0300,213.6100,213.9250,774636
AMZN,2025-08-01 13:55:00,213.7500,213.8200,213.4500,213.6300,1031073
AMZN,2025-08-01 13:50:00,213.9739,214.0400,213.7000,213.7500,679497
AMZN,2025-08-01 13:45:00,214.1300,214.2500,213.6700,213.9800,915313
AMZN,2025-08-01 13:40:00,214.0650,214.3199,213.8405,214.1300,699533
AMZN,2025-08-01 13:35:00,214.4750,214.4846,213.8300,214.0650,1197973
AMZN,2025-08-01 13:30:00,214.3393,214.7600,214.2800,214.4750,663575
AMZN,2025-08-01 13:25:00,214.0750,214.5666,214.0101,214.3400,915202
AMZN,2025-08-01 13:20:00,214.7200,214.8000,214.0100,214.0702,1104195
AMZN,2025-08-01 13:15:00,214.8400,214.9446,214.7000,214.7300,593915
AMZN,2025-08-01 13:10:00,215.0802,215.2000,214.6800,214.8500,859523
AMZN,2025-08-01 13:05:00,214.6700,215.2100,214.3900,215.0856,849732
AMZN,2025-08-01 13:00:00,214.8700,215.0600,214.6300,214.6800,922906
AMZN,2025-08-01 12:55:00,215.5800,215.6600,214.8100,214.8700,1430903
AMZN,2025-08-01 12:50:00,215.7800,215.7850,215.4500,215.5900,492266
AMZN,2025-08-01 12:45:00,215.6000,215.8600,215.4200,215.7800,602081
AMZN,2025-08-01 12:40:00,215.8450,215.8450,215.4900,215.6056,709651
AMZN,2025-08-01 12:35:00,216.0300,216.2500,215.7800,215.8541,622519
AMZN,2025-08-01 12:30:00,216.0500,216.2000,215.8400,216.0300,765789
AMZN,2025-08-01 12:25:00,215.8850,216.3300,215.7600,216.0600,710872
AMZN,2025-08-01 12:20:00,216.0500,216.2700,215.7600,215.8850,968297
AMZN,2025-08-01 12:15:00,215.7100,216.1686,215.6401,216.0700,753895
AMZN,2025-08-01 12:10:00,216.2100,216.2850,215.2800,215.7000,1000389
AMZN,2025-08-01 12:05:00,216.2100,216.4900,216.1200,216.2100,878624
AMZN,2025-08-01 12:00:00,215.9100,216.2680,215.8700,216.2138,995104
AMZN,2025-08-01 11:55:00,216.2100,216.2700,215.8200,215.9200,638734
AMZN,2025-08-01 11:50:00,216.1100,216.3500,215.9200,216.1950,819059
