SYMBOL, DATETIME, LOW ,QUOTE, HIGH ,CLOSE , VOLUME , INTERVAL
BOXL,2025-09-22 09:46:00,8.13,9.5,9.6299,8.4455,2164485.0,15.0
BOXL,2025-09-22 10:00:00,7.52,7.57,7.72,7.595,154305.0,15.0
BOXL,2025-09-22 10:15:00,7.92,7.9256,8.15,8.1443,154324.0,15.0
BOXL,2025-09-22 10:30:00,6.94,7.015,7.0224,6.98,104089.0,15.0
BOXL,2025-09-22 10:45:00,7.13,7.18,7.22,7.1557,118839.0,15.0
BOXL,2025-09-22 11:00:00,6.33,6.34,6.4,6.3389,78947.0,15.0
BOXL,2025-09-22 11:15:00,5.82,5.85,5.94,5.9246,49596.0,15.0
BOXL,2025-09-22 11:30:00,5.73,5.735,5.7739,5.7601,8172.0,15.0
BOXL,2025-09-22 11:45:00,5.12,5.1399,5.15,5.14,16963.0,15.0
BOXL,2025-09-22 12:00:00,5.22,5.29,5.29,5.224838,39200.0,15.0
BOXL,2025-09-22 12:15:00,5.08,5.0809,5.0891,5.0891,1731.0,15.0
BOXL,2025-09-22 12:30:00,5.0694,5.0875,5.09,5.0802,13795.0,15.0
BOXL,2025-09-22 12:45:00,5.015,5.025,5.09,5.08,35997.0,15.0
BOXL,2025-09-22 13:00:00,5.19,5.3112,5.32,5.2301,78569.0,15.0
BOXL,2025-09-22 13:15:00,5.14,5.155,5.16,5.1406,8791.0,15.0
BOXL,2025-09-22 13:30:00,5.1,5.12,5.129,5.1109,13091.0,15.0
BOXL,2025-09-22 13:45:00,5.18,5.185,5.19,5.185,4624.0,15.0
BOXL,2025-09-22 14:00:00,5.19,5.2221,5.27,5.26,33244.0,15.0
BOXL,2025-09-22 14:15:00,5.792,5.792,5.88,5.82,126204.0,15.0
BOXL,2025-09-22 14:30:00,5.7914,5.81,5.9,5.8781,138342.0,15.0
BOXL,2025-09-22 14:45:00,5.68,5.766,5.77,5.77,66269.0,15.0
BOXL,2025-09-22 15:00:00,5.36,5.385,5.42,5.365,42048.0,15.0
BOXL,2025-09-22 15:15:00,5.51,5.51,5.52,5.5112,2558.0,15.0
BOXL,2025-09-22 15:30:00,4.81,4.985,4.99,4.815,107738.0,15.0
BOXL,2025-09-22 15:45:00,4.7,4.7,4.88,4.84,167176.0,15.0
BOXL,2025-09-22 16:00:00,4.76,4.77,4.83,4.8,24590.0,15.0
