timestamp,open,high,low,close,volume
2025-07-31 19:45:00,563.1700,563.6900,563.1700,563.6000,79529
2025-07-31 19:30:00,563.2200,563.6600,563.0500,563.2050,31314
2025-07-31 19:15:00,563.8200,563.8500,563.0750,563.1850,26641
2025-07-31 19:00:00,563.3300,563.8999,562.8700,563.7500,76471
2025-07-31 18:45:00,563.0500,563.6000,562.9300,563.3693,38587
2025-07-31 18:30:00,563.9000,564.0900,562.3600,563.0900,90699
2025-07-31 18:15:00,564.1800,564.2900,563.6950,563.8300,33631
2025-07-31 18:00:00,563.7100,564.7400,563.7100,564.1900,98301
2025-07-31 17:45:00,564.4700,564.4700,563.3000,563.6250,95203
2025-07-31 17:30:00,565.1700,565.1700,564.2200,564.4699,145521
2025-07-31 17:15:00,564.4100,565.1700,564.0000,565.1540,63729
2025-07-31 17:00:00,564.4000,565.0100,529.1189,564.4400,95931
2025-07-31 16:45:00,564.5200,565.0900,564.1100,564.4050,126184
2025-07-31 16:30:00,564.2300,565.8500,564.2100,564.5100,460915
2025-07-31 16:15:00,565.0100,568.6743,563.5000,564.1400,425144
2025-07-31 16:00:00,565.0100,567.3600,564.0000,564.3900,3591672
2025-07-31 15:45:00,566.3750,566.4900,564.0118,565.0000,6182992
2025-07-31 15:30:00,565.6100,566.3800,565.3200,566.3600,2406277
2025-07-31 15:15:00,566.1900,566.6300,565.4000,565.5607,1916751
2025-07-31 15:00:00,566.4900,567.1700,566.0500,566.1920,1693826
2025-07-31 14:45:00,567.3800,567.7100,566.3800,566.4900,1556546
2025-07-31 14:30:00,566.5800,567.4700,566.5000,567.3850,1638897
2025-07-31 14:15:00,565.0000,566.6252,563.8700,566.5900,4156390
2025-07-31 14:00:00,565.8900,566.6000,565.0000,565.0100,2252007
2025-07-31 13:45:00,568.1000,568.4700,565.3300,565.9000,2653761
2025-07-31 13:30:00,567.4800,568.1783,566.6700,568.0993,2280759
2025-07-31 13:15:00,569.5500,569.6300,567.0500,567.4410,2277576
2025-07-31 13:00:00,570.2900,570.3150,569.4900,569.5500,1088659
2025-07-31 12:45:00,570.9050,570.9600,569.9750,570.2750,1347335
2025-07-31 12:30:00,571.1500,571.4200,570.6250,570.9300,1004194
2025-07-31 12:15:00,570.9400,571.3500,570.8200,571.1400,1130805
2025-07-31 12:00:00,570.6000,571.0000,570.3300,570.9401,1176669
2025-07-31 11:45:00,570.5100,570.6000,569.9600,570.6000,1171082
2025-07-31 11:30:00,569.4300,570.5490,569.3000,570.5100,1291191
2025-07-31 11:15:00,568.6900,569.5300,568.1750,569.4200,2189075
2025-07-31 11:00:00,569.5700,570.5900,568.6900,568.6900,2288995
2025-07-31 10:45:00,571.4200,571.4800,569.4200,569.5800,2509703
2025-07-31 10:30:00,571.9300,572.3200,570.9600,571.4500,1616013
2025-07-31 10:15:00,572.6900,572.9500,571.5000,571.9301,1800078
2025-07-31 10:00:00,572.6650,574.3400,572.0720,572.6800,2022591
2025-07-31 09:45:00,571.8400,573.4700,571.2000,572.6600,3051835
2025-07-31 09:30:00,574.5400,574.6300,571.4696,571.8307,5374258
2025-07-31 09:15:00,575.6600,575.7100,574.4600,574.5400,211995
2025-07-31 09:00:00,575.9000,575.9200,575.6700,575.6800,101050
2025-07-31 08:45:00,575.7200,576.0200,568.0200,575.9050,102517
2025-07-31 08:30:00,575.6500,576.0600,575.1400,575.7300,146058
2025-07-31 08:15:00,575.5300,575.7900,568.0200,575.7300,93663
2025-07-31 08:00:00,574.9600,576.9300,568.0200,575.5700,185346
2025-07-31 07:45:00,574.9700,575.1900,574.7000,574.9700,63387
2025-07-31 07:30:00,575.1600,575.3100,574.8600,574.9800,54213
2025-07-31 07:15:00,575.5300,575.5800,575.0500,575.1000,56086
2025-07-31 07:00:00,575.2500,575.8300,575.0600,575.5300,77082
2025-07-31 06:45:00,575.7100,575.9100,575.1900,575.2900,25179
2025-07-31 06:30:00,575.6600,575.8600,575.6400,575.7000,11224
2025-07-31 06:15:00,575.5100,575.7400,575.5100,575.6300,11163
2025-07-31 06:00:00,575.3900,575.5600,575.3500,575.5100,12154
2025-07-31 05:45:00,575.5500,575.6300,575.3800,575.4200,18544
2025-07-31 05:30:00,575.7500,575.7700,575.3900,575.5000,21720
2025-07-31 05:15:00,575.6000,575.9700,575.6000,575.7700,23948
2025-07-31 05:00:00,575.8200,575.9000,575.5700,575.6200,37749
2025-07-31 04:45:00,575.8400,576.3200,575.6700,575.8000,31743
2025-07-31 04:30:00,575.9900,576.1700,575.8300,575.8300,48791
2025-07-31 04:15:00,575.8900,576.1400,575.8400,575.9800,68887
2025-07-31 04:00:00,576.0500,577.0000,575.8300,575.8700,52343
2025-07-30 19:45:00,574.1500,574.2400,573.9100,573.9500,34668
2025-07-30 19:30:00,574.1150,574.2100,574.0100,574.1600,19786
2025-07-30 19:15:00,574.2900,574.2900,574.0000,574.1200,20371
