SYMBOL, DATETIME, LOW ,QUOTE, HIGH ,CLOSE , VOLUME , INTERVAL
DFLI,2025-10-03 09:30:00,1.33,1.46,2.28,1.07,339197088.0,15.0
DFLI,2025-10-03 09:35:00,1.47,1.6,1.66,1.515,9737859.0,5.0
DFLI,2025-10-03 09:40:00,1.41,1.5119,1.52,1.4545,6056238.0,5.0
DFLI,2025-10-03 09:45:00,1.36,1.459,1.47,1.4195,5088767.0,5.0
DFLI,2025-10-03 09:50:00,1.38,1.42,1.51,1.49,4143408.0,5.0
DFLI,2025-10-03 09:55:00,1.43,1.4821,1.49,1.485,3054563.0,5.0
DFLI,2025-10-03 10:00:00,1.4,1.48,1.5,1.429,2451018.0,5.0
DFLI,2025-10-03 10:05:00,1.41,1.4298,1.48,1.4201,1327678.0,5.0
DFLI,2025-10-03 10:10:00,1.36,1.4216,1.43,1.364,2574212.0,5.0
DFLI,2025-10-03 10:15:00,1.33,1.36,1.4,1.335,2975264.0,5.0
DFLI,2025-10-03 10:20:00,1.33,1.3364,1.36,1.36,2074147.0,5.0
DFLI,2025-10-03 10:25:00,1.34,1.3591,1.39,1.3601,2099791.0,5.0
DFLI,2025-10-03 10:30:00,1.35,1.365,1.44,1.4113,2100261.0,5.0
DFLI,2025-10-03 10:35:00,1.4,1.41,1.43,1.418554,1207881.0,5.0
DFLI,2025-10-03 10:40:00,1.41,1.4145,1.48,1.46,2765749.0,5.0
DFLI,2025-10-03 10:45:00,1.44,1.45,1.55,1.53,4161780.0,5.0
DFLI,2025-10-03 10:50:00,1.46,1.529,1.55,1.55,3800205.0,5.0
DFLI,2025-10-03 10:55:00,1.54,1.545,1.66,1.6535,7481550.0,5.0
DFLI,2025-10-03 11:00:00,1.5401,1.65,1.69,1.59,5951802.0,5.0
DFLI,2025-10-03 11:05:00,1.57,1.595,1.62,1.58,2617485.0,5.0
DFLI,2025-10-03 11:10:00,1.55,1.5894,1.64,1.575,3444965.0,5.0
DFLI,2025-10-03 11:15:00,1.55,1.571,1.59,1.575,1497688.0,5.0
DFLI,2025-10-03 11:20:00,1.56,1.575,1.74,1.7012,5969713.0,5.0
DFLI,2025-10-03 11:25:00,1.7,1.71,1.8,1.7803,8129329.0,5.0
DFLI,2025-10-03 11:30:00,1.73,1.7894,1.87,1.82,7295661.0,5.0
DFLI,2025-10-03 11:35:00,1.78,1.82,1.87,1.785,5638839.0,5.0
DFLI,2025-10-03 11:40:00,1.76,1.7891,1.81,1.7887,3015163.0,5.0
DFLI,2025-10-03 11:45:00,1.76,1.785,1.8275,1.8275,2924027.0,5.0
DFLI,2025-10-03 11:50:00,1.75,1.825,1.89,1.781,5623836.0,5.0
DFLI,2025-10-03 11:55:00,1.76,1.79,1.89,1.825,4234245.0,5.0
DFLI,2025-10-03 12:00:00,1.81,1.8297,1.9599,1.875,4069564.0,5.0
DFLI,2025-10-03 12:05:00,1.84,1.875,1.8799,1.8512,2458064.0,5.0
DFLI,2025-10-03 12:10:00,1.76,1.8599,1.86,1.7703,2909848.0,5.0
DFLI,2025-10-03 12:15:00,1.77,1.77,1.87,1.8488,3486654.0,5.0
DFLI,2025-10-03 12:20:00,1.83,1.8401,1.9,1.8801,2968809.0,5.0
DFLI,2025-10-03 12:25:00,1.87,1.8899,1.94,1.935,3626157.0,5.0
DFLI,2025-10-03 12:30:00,1.9,1.9345,1.98,1.9671,4259712.0,5.0
DFLI,2025-10-03 12:35:00,1.96,1.97,2.09,2.0399,9339660.0,5.0
DFLI,2025-10-03 12:40:00,2.03,2.03,2.2,2.1511,9567785.0,5.0
DFLI,2025-10-03 12:45:00,2.12,2.1555,2.25,2.1587,8190612.0,5.0
DFLI,2025-10-03 12:50:00,1.92,2.155,2.28,1.945,14085743.0,5.0
DFLI,2025-10-03 12:55:00,1.91,1.94,2.0,1.935,5950529.0,5.0
DFLI,2025-10-03 13:00:00,1.79,1.93,1.97,1.82,7525205.0,5.0
DFLI,2025-10-03 13:05:00,1.76,1.825,1.8387,1.8387,4516976.0,5.0
DFLI,2025-10-03 13:10:00,1.79,1.84,1.93,1.92,5598923.0,5.0
DFLI,2025-10-03 13:15:00,1.92,1.92,1.99,1.9313,5474624.0,5.0
DFLI,2025-10-03 13:20:00,1.8,1.93,1.95,1.815,4201566.0,5.0
DFLI,2025-10-03 13:25:00,1.81,1.8145,1.88,1.879,1901895.0,5.0
DFLI,2025-10-03 13:30:00,1.81,1.875,1.885,1.813065,2714026.0,5.0
DFLI,2025-10-03 13:35:00,1.8,1.81,1.84,1.805,1265529.0,5.0
DFLI,2025-10-03 13:40:00,1.68,1.8013,1.82,1.7,5319897.0,5.0
DFLI,2025-10-03 13:45:00,1.67,1.7097,1.72,1.68,2678852.0,5.0
DFLI,2025-10-03 13:50:00,1.67,1.6855,1.75,1.6901,1983398.0,5.0
DFLI,2025-10-03 13:55:00,1.68,1.6994,1.73,1.7099,1197293.0,5.0
DFLI,2025-10-03 14:00:00,1.701,1.7012,1.86,1.8,5067718.0,5.0
DFLI,2025-10-03 14:05:00,1.71,1.8012,1.84,1.78,2875519.0,5.0
DFLI,2025-10-03 14:10:00,1.75,1.7809,1.8,1.795,1152914.0,5.0
DFLI,2025-10-03 14:15:00,1.75,1.7951,1.8,1.79,805634.0,5.0
DFLI,2025-10-03 14:20:00,1.78,1.7888,1.82,1.8099,1432710.0,5.0
DFLI,2025-10-03 14:25:00,1.7957,1.805,1.94,1.9,3928465.0,5.0
DFLI,2025-10-03 14:30:00,1.84,1.9014,1.94,1.8513,2253551.0,5.0
DFLI,2025-10-03 14:35:00,1.85,1.855,1.94,1.93,2531506.0,5.0
DFLI,2025-10-03 14:40:00,1.85,1.92,1.94,1.8801,2183467.0,5.0
DFLI,2025-10-03 14:45:00,1.88,1.89,1.92,1.895,988427.0,5.0
DFLI,2025-10-03 14:50:00,1.86,1.89,1.96,1.9475,2331663.0,5.0
DFLI,2025-10-03 14:55:00,1.87,1.946,1.97,1.9087,2494625.0,5.0
DFLI,2025-10-03 15:00:00,1.9,1.905,1.96,1.9137,1992929.0,5.0
DFLI,2025-10-03 15:05:00,1.85,1.9103,1.93,1.885,1621937.0,5.0
DFLI,2025-10-03 15:10:00,1.88,1.885,1.93,1.9187,1049001.0,5.0
DFLI,2025-10-03 15:15:00,1.88,1.92,1.93,1.895,1126448.0,5.0
DFLI,2025-10-03 15:20:00,1.76,1.8987,1.91,1.8991,3220403.0,5.0
DFLI,2025-10-03 15:25:00,1.8,1.895,1.93,1.8502,2824783.0,5.0
DFLI,2025-10-03 15:30:00,1.85,1.85,1.9,1.8809,1164456.0,5.0
DFLI,2025-10-03 15:35:00,1.83,1.885,1.885,1.85,980320.0,5.0
DFLI,2025-10-03 15:40:00,1.83,1.85,1.87,1.8449,1008212.0,5.0
DFLI,2025-10-03 15:45:00,1.84,1.845,1.9,1.8713,2318216.0,5.0
