SYMBOL, DATETIME, LOW ,QUOTE, HIGH ,CLOSE , VOLUME , INTERVAL
BLDP,2025-08-16 01:13:27.125214,1.82,1.83,1.85,1.835,108256.0,15.0
BLDP,2025-08-16 01:13:27.417573,1.83,1.8306,1.85,1.85,28872.0,15.0
BLDP,2025-08-16 01:13:27.754275,1.82,1.84,1.8408,1.835,82914.0,15.0
BLDP,2025-08-16 01:13:28.296196,1.8348,1.835,1.84,1.835,40293.0,5.0
BLDP,2025-08-16 01:13:28.616548,1.9892,1.9892,1.9892,1.9892,200.0,15.0
BLDP,2025-08-16 01:13:28.968590,1.9892,1.9892,1.9892,1.9892,200.0,15.0
BLDP,2025-08-16 01:13:29.266909,1.9892,1.9892,1.9892,1.9892,200.0,15.0
BLDP,2025-08-16 01:13:29.569065,1.9892,1.9892,1.9892,1.9892,200.0,15.0
BLDP,2025-08-16 01:13:30.023890,1.9892,1.9892,1.9892,1.9892,200.0,15.0
BLDP,2025-08-16 01:13:30.341239,1.9892,1.9892,1.9892,1.9892,200.0,15.0
BLDP,2025-08-16 01:13:30.652349,1.9892,1.9892,1.9892,1.9892,200.0,15.0
BLDP,2025-08-16 01:13:30.984317,1.9892,1.9892,1.9892,1.9892,200.0,15.0
BLDP,2025-08-16 01:13:31.307410,1.9892,1.9892,1.9892,1.9892,200.0,15.0
BLDP,2025-08-16 01:13:31.635869,1.9892,1.9892,1.9892,1.9892,200.0,15.0
BLDP,2025-08-16 01:13:31.987812,1.9892,1.9892,1.9892,1.9892,200.0,15.0
BLDP,2025-08-16 01:13:32.303315,1.9892,1.9892,1.9892,1.9892,200.0,15.0
BLDP,2025-08-16 01:13:32.613794,1.9892,1.9892,1.9892,1.9892,200.0,15.0
BLDP,2025-08-16 01:13:33.116792,1.9892,1.9892,1.9892,1.9892,200.0,15.0
BLDP,2025-08-16 01:13:33.456728,1.9892,1.9892,1.9892,1.9892,200.0,15.0
BLDP,2025-08-16 01:13:33.853683,1.9892,1.9892,1.9892,1.9892,200.0,15.0
BLDP,2025-08-16 01:13:34.220857,1.9892,1.9892,1.9892,1.9892,200.0,15.0
BLDP,2025-08-16 01:13:34.508205,1.9892,1.9892,1.9892,1.9892,200.0,15.0
BLDP,2025-08-16 01:13:34.917038,1.9892,1.9892,1.9892,1.9892,200.0,15.0
BLDP,2025-08-16 01:13:35.271230,1.9892,1.9892,1.9892,1.9892,200.0,15.0
BLDP,2025-08-16 01:13:35.663585,1.9892,1.9892,1.9892,1.9892,200.0,15.0
BLDP,2025-08-16 01:13:36.028342,1.9892,1.9892,1.9892,1.9892,200.0,15.0
BLDP,2025-08-16 01:13:36.405727,1.9892,1.9892,1.9892,1.9892,200.0,15.0
BLDP,2025-08-16 01:13:36.853602,1.9892,1.9892,1.9892,1.9892,200.0,15.0
BLDP,2025-08-16 01:13:37.112635,1.9892,1.9892,1.9892,1.9892,200.0,15.0
BLDP,2025-08-16 01:13:37.447349,1.9892,1.9892,1.9892,1.9892,200.0,15.0
BLDP,2025-08-16 01:13:37.738888,1.9892,1.9892,1.9892,1.9892,200.0,15.0
