SYMBOL, DATETIME, LOW ,QUOTE, HIGH ,CLOSE , VOLUME , INTERVAL
AMZN,2025-08-16 00:51:43.865230,227.115,227.4,230.4899,230.46,7562586.0,15.0
AMZN,2025-08-16 00:51:44.107080,229.04,230.47,230.47,230.19,2558200.0,15.0
AMZN,2025-08-16 00:51:44.347097,228.59,230.19,230.49,228.64,2006002.0,15.0
AMZN,2025-08-16 00:51:44.795753,228.52,228.64,229.74,229.32,1296886.0,15.0
AMZN,2025-08-16 00:51:45.143511,228.565,229.3341,229.525,229.4788,936829.0,15.0
AMZN,2025-08-16 00:51:45.570064,229.27,229.46,230.055,229.92,1272262.0,15.0
AMZN,2025-08-16 00:51:45.864641,228.94,229.93,230.1,229.17,1014225.0,15.0
AMZN,2025-08-16 00:51:46.152481,228.25,229.17,229.4,228.601,1136493.0,15.0
AMZN,2025-08-16 00:51:46.435123,228.7,229.08,229.09,228.85,458818.0,5.0
AMZN,2025-08-16 00:51:46.793426,228.25,228.85,228.85,228.601,420165.0,5.0
AMZN,2025-08-16 00:51:47.090220,228.51,228.61,228.88,228.7,245374.0,5.0
AMZN,2025-08-16 00:51:47.373974,228.95,229.0431,229.9,229.78,870509.0,15.0
AMZN,2025-08-16 00:51:47.687870,229.56,229.79,230.29,230.145,1283006.0,15.0
AMZN,2025-08-16 00:51:47.980907,230.13,230.14,231.64,230.455,2236228.0,15.0
AMZN,2025-08-16 00:51:48.436284,230.41,230.45,230.91,230.9,628025.0,15.0
AMZN,2025-08-16 00:51:49.012108,230.7375,230.905,231.72,231.5999,993702.0,15.0
AMZN,2025-08-16 00:51:49.504118,231.09,231.59,231.72,231.66,976776.0,15.0
AMZN,2025-08-16 00:51:49.988018,231.49,231.66,232.185,232.1489,936910.0,15.0
AMZN,2025-08-16 00:51:50.340155,231.89,232.155,232.305,232.285,1226548.0,15.0
AMZN,2025-08-16 00:51:50.672920,232.0825,232.29,233.03,232.97,2031708.0,15.0
AMZN,2025-08-16 00:51:51.226785,232.32,232.97,233.11,232.36,1534075.0,15.0
AMZN,2025-08-16 00:51:51.581675,232.1903,232.39,232.84,232.465,1316262.0,15.0
AMZN,2025-08-16 00:51:51.886763,232.24,232.46,232.6,232.52,972385.0,15.0
AMZN,2025-08-16 00:51:52.171515,231.5393,232.52,232.53,231.635,856112.0,15.0
AMZN,2025-08-16 00:51:52.479049,231.51,231.635,232.0697,231.87,1034579.0,15.0
AMZN,2025-08-16 00:51:52.888988,231.05,231.87,232.04,231.37,1268689.0,15.0
AMZN,2025-08-16 00:51:53.240330,231.28,231.76,231.8,231.32,405741.0,5.0
AMZN,2025-08-16 00:51:53.500438,231.05,231.32,231.39,231.37,499156.0,5.0
AMZN,2025-08-16 00:51:53.863689,231.08,231.38,231.5,231.255,517847.0,5.0
AMZN,2025-08-16 00:51:54.184670,230.84,231.48,231.63,230.89,2930684.0,15.0
AMZN,2025-08-16 00:51:54.494722,230.84,231.45,231.51,231.2842,988675.0,5.0
AMZN,2025-08-16 00:51:59.167750,230.6,230.89,230.91,230.6,9404.0,15.0
AMZN,2025-08-16 00:51:59.862990,230.6,230.89,230.91,230.6,9404.0,15.0
AMZN,2025-08-16 00:52:00.490508,230.6,230.89,230.91,230.6,9404.0,15.0
AMZN,2025-08-16 00:52:00.827269,230.6,230.89,230.91,230.6,9404.0,15.0
